DATE,TAVG,TMAX,TMIN
19480101,-9999,62,26
19480102,-9999,31,27
19480103,-9999,38,23
19480104,-9999,37,32
19480105,-9999,42,28
19480106,-9999,46,30
19480107,-9999,52,23
19480108,-9999,61,37
19480109,-9999,57,36
19480110,-9999,42,23
19480111,-9999,45,21
19480112,-9999,43,34
19480113,-9999,34,19
19480114,-9999,21,10
19480115,-9999,41,12
19480116,-9999,36,16
19480117,-9999,19,6
19480118,-9999,23,3
19480119,-9999,35,12
19480120,-9999,38,14
19480121,-9999,40,20
19480122,-9999,21,6
19480123,-9999,18,0
19480124,-9999,20,-1
19480125,-9999,23,-1
19480126,-9999,26,0
19480127,-9999,21,7
19480128,-9999,19,-4

19480130,-9999,32,24
19480131,-9999,25,17
19480201,-9999,32,14
19480202,-9999,40,7
19480203,-9999,37,18
19480204,-9999,38,32
19480205,-9999,33,21
19480206,-9999,33,3
19480207,-9999,39,20
19480208,-9999,30,13
19480209,-9999,28,9
19480210,-9999,36,4
19480211,-9999,40,30
19480212,-9999,39,33
19480213,-9999,39,27
19480214,-9999,39,24
19480215,-9999,49,23
19480216,-9999,61,38
19480217,-9999,64,30
19480218,-9999,69,37
19480219,-9999,66,31
19480220,-9999,35,21
19480221,-9999,28,18
19480222,-9999,32,14
19480223,-9999,46,17
19480224,-9999,53,32
19480225,-9999,51,46
19480226,-9999,61,48
19480227,-9999,71,51
19480228,-9999,62,43
19480229,-9999,46,30
19480301,-9999,50,32
19480302,-9999,63,36
19480303,-9999,37,33
19480304,-9999,44,29
19480305,-9999,47,23
19480306,-9999,44,37
19480307,-9999,48,29
19480308,-9999,43,26
19480309,-9999,48,32
19480310,-9999,40,29
19480311,-9999,29,16
19480312,-9999,32,11
19480313,-9999,49,19
19480314,-9999,63,29
19480315,-9999,64,56
19480316,-9999,63,36
19480317,-9999,61,30
19480318,-9999,70,38
19480319,-9999,81,51
19480320,-9999,81,48
19480321,-9999,80,59
19480322,-9999,64,55
19480323,-9999,57,47
19480324,-9999,69,41
19480325,-9999,75,40
19480326,-9999,77,56
19480327,-9999,56,33
19480328,-9999,49,28
19480329,-9999,65,38
19480330,-9999,63,40
19480331,-9999,68,51
19480401,-9999,51,34
19480402,-9999,59,30
19480403,-9999,62,30
19480404,-9999,74,39
19480405,-9999,76,49
19480406,-9999,79,60
19480407,-9999,78,57
19480408,-9999,74,44
19480409,-9999,58,40
19480410,-9999,62,39
19480411,-9999,77,54
19480412,-9999,55,47
19480413,-9999,61,45
19480414,-9999,50,38
19480415,-9999,63,34
19480416,-9999,77,42
19480417,-9999,62,36
19480418,-9999,77,38
19480419,-9999,82,61
19480420,-9999,81,60
19480421,-9999,60,45
19480422,-9999,69,40
19480423,-9999,83,55
19480424,-9999,84,66
19480425,-9999,85,60
19480426,-9999,84,59
19480427,-9999,81,57
19480428,-9999,68,49
19480429,-9999,68,43
19480430,-9999,65,38
19480501,-9999,75,55
19480502,-9999,77,53
19480503,-9999,70,49
19480504,-9999,65,47
19480505,-9999,70,42
19480506,-9999,63,50
19480507,-9999,64,47
19480508,-9999,75,47
19480509,-9999,82,55
19480510,-9999,85,66
19480511,-9999,80,60
19480512,-9999,71,57
19480513,-9999,63,53
19480514,-9999,71,48
19480515,-9999,68,55
19480516,-9999,78,61
19480517,-9999,72,54
19480518,-9999,75,51
19480519,-9999,77,47
19480520,-9999,80,51
19480521,-9999,83,58
19480522,-9999,74,49
19480523,-9999,80,47
19480524,-9999,77,53
19480525,-9999,73,51
19480526,-9999,75,46
19480527,-9999,81,46
19480528,-9999,80,61
19480529,-9999,85,56
19480530,-9999,81,58
19480531,-9999,79,54
19480601,-9999,79,47
19480602,-9999,83,53
19480603,-9999,88,55
19480604,-9999,91,62
19480605,-9999,91,64
19480606,-9999,91,64
19480607,-9999,78,63
19480608,-9999,83,60
19480609,-9999,82,55
19480610,-9999,82,55
19480611,-9999,85,58
19480612,-9999,89,64
19480613,-9999,91,61
19480614,-9999,80,56
19480615,-9999,84,63
19480616,-9999,84,65
19480617,-9999,83,53
19480618,-9999,84,62
19480619,-9999,84,70
19480620,-9999,86,56
19480621,-9999,84,60
19480622,-9999,93,71
19480623,-9999,92,76
19480624,-9999,94,73
19480625,-9999,89,68
19480626,-9999,92,65
19480627,-9999,92,67
19480628,-9999,89,69
19480629,-9999,91,69
19480630,-9999,80,62
19480701,-9999,83,53
19480702,-9999,89,52
19480703,-9999,93,57
19480704,-9999,95,65
19480705,-9999,92,70
19480706,-9999,92,70
19480707,-9999,91,65
19480708,-9999,90,63
19480709,-9999,93,67
19480710,-9999,91,72
19480711,-9999,87,67
19480712,-9999,92,75
19480713,-9999,88,72
19480714,-9999,89,71
19480715,-9999,91,70
19480716,-9999,91,70
19480717,-9999,87,71
19480718,-9999,90,71
19480719,-9999,88,69
19480720,-9999,80,70
19480721,-9999,92,73
19480722,-9999,87,71
19480723,-9999,76,64
19480724,-9999,80,58
19480725,-9999,85,58
19480726,-9999,81,67
19480727,-9999,89,65
19480728,-9999,90,67
19480729,-9999,90,69
19480730,-9999,90,72
19480731,-9999,83,64
19480801,-9999,86,59
19480802,-9999,87,65
19480803,-9999,88,62
19480804,-9999,73,61
19480805,-9999,76,55
19480806,-9999,78,52
